Name,Director,IMDB Rating,Number Of Votes,Genres,Year
G.O.R.A.,Ömer Faruk Sorak,8.0,50405,"
Adventure, Comedy, SciFi            ",(2004)
A.R.O.G,Ali Taner Baltaci,7.3,32527,"
Comedy, Fantasy, SciFi            ",(2008)
Arif V 216,Kivanç Baruönü,7.3,26993,"
Comedy, SciFi            ",(2018)
Dünyayi Kurtaran Adam'in Oglu,Kartal Tibet,1.7,15195,"
Action, Comedy, SciFi            ",(2006)
Dünyayi Kurtaran Adam,Çetin Inanç,4.6,6938,"
Action, Adventure, SciFi            ",(1982)
Turist Ömer Uzay Yolu'nda,Hulki Saner,7.4,2971,"
Comedy, SciFi            ",(1973)
Japon Isi,Kartal Tibet,6.1,2781,"
Comedy, Romance, SciFi            ",(1987)
Zaman Makinesi 1973,Aram Gülyüz,6.4,2265,"
Comedy, SciFi            ",(2014)
Gizem Birimi,Erkut Altindag,8.2,1061,"
SciFi            ",(2013)
Bugday,Semih Kaplanoglu,6.1,1025,"
Drama, SciFi            ",(2017)
3 dev adam,T. Fikret Uçak,4.3,535,"
Action, Crime, SciFi            ",(1973)
Süpermen Dönüyor,Kunt Tulgar,3.8,474,"
Adventure, Fantasy, SciFi            ",(1979)
Badi,Zafer Par,3.3,294,"
SciFi            ",(1983)
Yilmayan seytan,Yilmaz Atadeniz,5.3,260,"
Action, SciFi            ",(1972)
Uzay Kuvvetleri 2911,Michael Derun,2.8,203,"
Animation, Adventure, SciFi            ",(2015)
Süpermenler,Italo Martinenghi,3.7,193,"
Comedy, Crime, SciFi            ",(1979)
Certain Justice,Hüseyin Eleman,5.9,192,"
Drama, SciFi            ",(2014)
Meteorlar,Gürcan Keltek,6.8,188,"
Drama, Mystery, SciFi            ",(2017)
Kilink uçan adama karsi,Yilmaz Atadeniz,6.0,96,"
SciFi, Adventure, Action            ",(1967)
Uçan daireler Istanbulda,Orhan Erçin,5.5,84,"
Comedy, SciFi            ",(1955)
Sevimli Frankenstayn,Nejat Saydam,5.7,70,"
SciFi, Comedy, Horror            ",(1975)
Astronot Fehmi,Naki Yurter,4.8,67,"
Comedy, SciFi            ",(1978)
Örümcek Adam,Cevat Okçugil,5.0,56,"
Adventure, Crime, SciFi            ",(1966)
La polizia brancola nel buio,Helia Colombo,5.4,53,"
Mystery, SciFi, Thriller            ",(1975)
Baytekin - fezada çarpisanlar,Sinasi Özonuk,4.9,42,"
Action, Adventure, SciFi            ",(1967)
Çilgin kiz ve üç süper adam,Cavit Yürüklü,6.4,42,"
Action, SciFi            ",(1973)
Uvertür,Alpgiray M. Ugurlu,6.5,41,"
Drama, Mystery, SciFi            ",(2013)
TED Rising,Bartu Atabek,6.9,31,"
Action, Adventure, SciFi            ",(2016)
Süper adam,Cavit Yürüklü,4.2,28,"
Adventure, Fantasy, SciFi            ",(1971)
Akiyo,Onur Yayla,7.3,24,"
Drama, Music, SciFi            ",(2015)
Uçan Kiz,Semih Evin,4.7,23,"
Action, SciFi            ",(1972)
Görünmeyen adam Istanbul'da,Lütfi Akad,5.4,17,"
Adventure, SciFi, Thriller            ",(1955)
For the Blinds,Ozan Adam,6.4,12,"
Adventure, Fantasy, SciFi            ",(2014)
Kuluçka,Mehmet Selçuk Bilge,5.8,10,"
Fantasy, Mystery, SciFi            ",(2017)
Monolog,Eray Dinç,7.2,8,"
Drama, SciFi, Thriller            ",(2010)
Ölüm saçan dudaklar,Cevat Okçugil,6.6,5,"
Adventure, SciFi            ",(1965)
Flat Earth,Erkut Altindag, , ,"
Action, SciFi            ",
Evrensel Döngü: Zamansal Yolculuk,Furkan Kopuz, , ,"
Drama, Mystery, SciFi            ",(2019)
Wereminds,Aleksey Zalevskiy, , ,"
Drama, Fantasy, SciFi            ",
Kumpas,Kerem Topuz, , ,"
Comedy, Crime, SciFi            ",
In the Shadows,Erdem Tepegoz, , ,"
SciFi            ",(II)
Hd 164595,Erkut Altindag, , ,"
SciFi            ",
SG3: Sword of the Samurai,Erkut Altindag, , ,"
Comedy, SciFi            ",(2007)
Joypad,Baturalp Bekar, , ,"
SciFi            ",(2016)
SG4 Uprising,Erkut Altindag, , ,"
SciFi            ",
Grounded,Idil Ceren Bicer, , ,"
Drama, Mystery, SciFi            ",(I) (2016)
Organik Uyku,Hasan Can Dagli, , ,"
SciFi            ",(2016)
Generation Last,Joel Juarez, , ,"
Action, SciFi, Thriller            ",(2012)
Deepfake,Erkut Altindag, , ,"
Action, SciFi            ",
Uçurum Çiçegi,Mehmet Ali Zaim, , ,"
Drama, SciFi            ",(2020)
Genfüzyon,Mert Tugberk Bora, , ,"
SciFi            ",(2019)
